description,details,money,pub_name
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.33
/word",aljazeera english
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.75
/word",aljazeera english
1200 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",aljazeera english
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",aljazeera english
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",aljazeera english
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",aljazeera english
~375 word news story,Medium reporting; Assignment (editor came to you),"$1.07
/word",aljazeera english
1850 word feature,Little to no reporting; Assignment (editor came to you),"$0.41
/word",alaska airlines magazine
"400 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",all black media
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",allaboutcircuits
"600 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.17
/word",alma
"600 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",alma
700 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",almost fearless
800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",almost fearless
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",almost fearless
800 word,,"$0.19
/word",almost fearless
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",almost fearless
1000 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",almost fearless
1000 word feature,Little to no reporting; Other,"$0.00
/word",almost fearless
1000 word,,"$0.00
/word",almost fearless
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",almost fearless
15000 word feature,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.25
/word",alpinist magazine
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",alternet
1000 word,,"$0.25
/word",alternet
~1500 word news story,Assignment (editor came to you),"$0.17
/word",alternet
~1500 word news story,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.17
/word",alternet
,,"$250
flat",alternet
news story,,"$200
flat",alternet
news story,,"$250
flat",alternet
"opinion, editorial, column or essay",,"$250
flat",alternet
news story,,"$250
flat",alternet
news story,,"$250
flat",alternet
1600 word feature,,"$0.16
/word",alternet
3700 word feature,,"$0.03
/word",alternet 2nd rights
1400 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.25
/word",ambassador national italian american foundation
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.38
/word",america magazine
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",america magazine
1100 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.32
/word",americas quarterly
1000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",americas quarterly
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",american angler
~375 word profile or interview,Medium reporting; Assignment (editor came to you),"$1.00
/word",american banker
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",american educator
2016 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.69
/word",american forests
"500 word opinion, editorial, column or essay",,"$0.50
/word",american teacher magazine
2000 word,,"$0.25
/word",american theatre
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.15
/word",american theatre
99 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$1.01
/word",american way
500 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",amongmen
350 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",amongmen
555 word,,"$0.03
/word",animal new york
,,,animal new york
"~375 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",aol travel
800 word,,"$0.10
/word",april magazine
"1000 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",april magazine
1000 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",april magazine
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",aps news
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",archdaily
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",archer magazine
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.15
/word",archinect
2000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",architect magazine
,,,architect magazine
,,,architect magazine
,,,architect magazine
600 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",architectural digest
"700 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.71
/word",architectural record
1200 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",are we europe
1200 word,,"$0.10
/word",are we europe
2600 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",are we europe
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",are we europe
2000 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",are we europe
700 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.16
/word",are we europe
2000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",are we europe
1428 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",argot magazine
557 word poetry,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",argot magazine
1700 word fiction,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.09
/word",argot magazine
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.67
/word",argot magazine
800 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",armenian weekly
800 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.09
/word",armenian weekly
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",ars technica
3600 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",ars technica
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",ars technica
"1200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",art in america
"599 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",art in america
750 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",art in america
"1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.67
/word",art in america
"~375 word criticism, review, or arts/entertainment converage",Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",art in america
"criticism, review, or arts/entertainment converage",,"$120
flat",art in america
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",art jewelry forum
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",art jewelry forum
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Assignment (editor came to you),"$0.12
/word",art papers
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",art papers
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Assignment (editor came to you),"$0.33
/word",art papers
~5000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.06
/word",art press france
~750 word other,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.13
/word",art21 magazine
"600 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.01
/word",arte fuse
"250 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",artforum
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.38
/word",artforum
"598 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.33
/word",artforum
"~125 word criticism, review, or arts/entertainment converage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",artforum
,,"$50
flat",artforum
"500 word criticism, review, or arts/entertainment converage",,"$0.40
/word",artforum
250 word,,"$0.20
/word",artforum
"550 word criticism, review, or arts/entertainment converage",,"$0.36
/word",artforum
2500 word feature,Medium reporting; Assignment (editor came to you),"$0.80
/word",artnews
300 word fob,,"$0.83
/word",artnews
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Other,"$0.23
/word",artreview
"900 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.46
/word",artreview
700 word,Medium reporting,"$0.20
/word",artreview
700 word,,"$0.29
/word",artreview
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.30
/word",artreview
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.23
/word",artreview
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Other,"$0.23
/word",artreview
"900 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.46
/word",artreview
700 word,Medium reporting,"$0.20
/word",artreview
700 word,,"$0.29
/word",artreview
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.30
/word",artreview
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.23
/word",artreview
1000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",artslant
1000 word,,"$0.30
/word",artsy
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",artsy
"criticism, review, or arts/entertainment converage",,,artus
1200 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",asia times online
1000 word news story,,"$0.17
/word",asia times online
800 word,,"$0.19
/word",askmencom
"1000 word opinion, editorial, column or essay",,"$0.10
/word",askmencom
703 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",astronomy magazine
1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",astronomy magazine
1000 word,,"$0.00
/word",astronomy magazine
800 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",asweatlife
2000 word profile or interview,Little to no reporting; Assignment (editor came to you),"$0.40
/word",at large magazine
500 word feature,Little to no reporting; Assignment (editor came to you),"$0.70
/word",at large magazine
3500 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.49
/word",at large magazine
300 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",atlanta magazine
~375 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.53
/word",atlantic books today
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",atlas obscura
750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.37
/word",atlas obscura
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",atlas obscura
750 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.53
/word",atlas obscura
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.13
/word",atlas obscura
2500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",atlas obscura
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.33
/word",atlas obscura
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",atlas obscura
780 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.26
/word",atlas obscura
3100 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.10
/word",atlas obscura
1150 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",atlas obscura
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",atlas obscura
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",atlas obscura
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",atlas obscura
1500 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",atlas obscura
600 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",atlas obscura
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",atlas obscura
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",atlas obscura
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",atlas obscura
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",atlas obscura
1000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",audubon magazine
700 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.43
/word",audubon magazine
300 word fob,Medium reporting; Assignment (editor came to you),"$0.33
/word",audubon magazine
900 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",autostraddle
1200 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",autostraddle
"950 word opinion, editorial, column or essay",,"$0.05
/word",autostraddle
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",autostraddle
1000 word,,"$0.05
/word",autostraddle
"3000 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",autostraddle
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.04
/word",autostraddle
"1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",autostraddle
900 word,,"$0.04
/word",autostraddle
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.07
/word",autostraddle
,,"$500
flat",avalon magazine canada
2000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.30
/word",avianca
"1300 word opinion, editorial, column or essay",,"$0.12
/word",babble
"550 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.30
/word",babe
"750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",babe
3000 word,,"$0.06
/word",backchannel
1500 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.80
/word",backchannel
3000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.67
/word",backchannel
500 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",backpacker magazine
300 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",backpacker magazine
1200 word fob,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",backpacker magazine
"2500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",backstage
~1500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",baltimores child
"200 word criticism, review, or arts/entertainment coverage",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",bay nature
300 word blog post,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",bay street bull
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.61
/word",bbc capital
1400 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",bbc culture
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.54
/word",bbc culture
1000 word,Medium reporting; Cold pitch (no pre existing relationship),"$0.37
/word",bbc culture
4500 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.67
/word",bbc future
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",bbc future
1200 word,,"$0.50
/word",bbc travel
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.56
/word",bbc travel
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",bbc travel
900 word,,"$0.39
/word",bbc travel
200 word fob,Medium reporting,"$0.75
/word",bc business
400 word,,"$0.56
/word",bc business
~750 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",be moxie
1100 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",bedford  bowery
"600 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",bedford  bowery
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",bedsider
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.42
/word",belt magazine
~3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",belt magazine
"opinion, editorial, column or essay",,"$150
flat",best womens travel writing
"900 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",bevel code
"113 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.35
/word",beyond
3221 word blog post,Medium reporting; Other,"$0.20
/word",beyond myth and jargon
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",billboard
500 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",billboard
"6000 word criticism, review, or arts/entertainment coverage",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",billboard
1000 word,,"$0.15
/word",billboard
750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",bioscience
600 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",biotechniques
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",biotechniques
1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",biotechniques
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",bitch
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",bitch
1500 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.07
/word",bitch
2500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.48
/word",bitch
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",bitch
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",bitch
"1276 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",bitch
2800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.04
/word",bitch
"1200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.08
/word",bitch
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting,"$0.13
/word",bitch
500 word,,"$0.10
/word",bitch
"350 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",bitch
"1100 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",bitch
"1139 word criticism, review, or arts/entertainment coverage",Little to no reporting; Assignment (editor came to you),"$0.04
/word",bitch
1500 word,,"$0.01
/word",bitch
1500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",bitch
1500 word,,"$0.05
/word",bitch
2160 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",bitch
"300 word criticism, review, or arts/entertainment coverage",Little to no reporting; Assignment (editor came to you),"$0.13
/word",bitch
"1800 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",bitch
1600 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.22
/word",bitch
"1600 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",bitch
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",bitch
~750 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",bitch
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.01
/word",bitch
~1500 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.01
/word",bitch
"400 word criticism, review, or arts/entertainment converage",,"$0.10
/word",bitch
profile or interview,,"$40
flat",bitch
800 word fob,,"$0.03
/word",bitch
,,"$50
flat",bitch
,,"$150
flat",blackbook
450 word news story,Medium reporting; Other,"$0.03
/word",blasting news us
360 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",blasting news us
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",blavity
news story,,"$800
flat",bloomberg news
500 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",blue ridge country magazine
~125 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.60
/word",blue ridge country magazine
~1500 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.25
/word",boiler room
800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",boing boing
700 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",bonappetitcom
600 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.42
/word",bonappetitcom
"687 word opinion, editorial, column or essay",Little to no reporting; Other,"$0.07
/word",book riot
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",bookforum
