description,details,money,pub_name,rate,type
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",adoptioncom,0.05,word
2500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",adrain telegram,0.09,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$1.35
/word",adventure cyclist magazine,1.35,word
800 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.09
/word",adventure kayak,0.09,word
600 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",advicesister beauty fashion  lifestyle,0.0,word
"1200 word opinion, editorial, column or essay",Solicited pitch (editor asked you to pitch),"$0.21
/word",aeon,0.21,word
"3000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.55
/word",aeon,0.55,word
"1300 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.15
/word",aeon,0.15,word
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.46
/word",aeon,0.46,word
~3000 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.55
/word",aeon,0.55,word
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",aeon,0.5,word
"450 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$1.50
/word",afar,1.5,word
500 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",afar,0.5,word
500 word feature,Medium reporting,"$1.50
/word",afar,1.5,word
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",afar,1.0,word
1600 word,,"$0.50
/word",africa renewal un,0.5,word
600 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",afropunk,0.0,word
"713 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",agdaily,0.21,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",al jazeera america,0.0,word
~1500 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.87
/word",al jazeera america,0.87,word
~1500 word fob,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$1.00
/word",al jazeera america,1.0,word
~1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",al jazeera america,1.0,word
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.83
/word",al jazeera america,0.83,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.47
/word",al jazeera america,0.47,word
1500 word,,"$0.23
/word",al jazeera america,0.23,word
1200 word feature,,"$0.29
/word",al jazeera america,0.29,word
900 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.44
/word",al jazeera english,0.44,word
1350 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.26
/word",al jazeera english,0.26,word
1000 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.35
/word",al jazeera english,0.35,word
1500 word,,"$0.53
/word",al jazeera english,0.53,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",al jazeera english,0.5,word
"1000 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.30
/word",al jazeera english,0.3,word
1000 word,,"$1.00
/word",aljazeera english,1.0,word
1500 word,,"$0.50
/word",aljazeera english,0.5,word
2400 word,,"$0.52
/word",aljazeera english,0.52,word
1200 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.42
/word",aljazeera english,0.42,word
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.33
/word",aljazeera english,0.33,word
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.75
/word",aljazeera english,0.75,word
1200 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",aljazeera english,0.4,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",aljazeera english,0.33,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",aljazeera english,0.1,word
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",aljazeera english,0.25,word
~375 word news story,Medium reporting; Assignment (editor came to you),"$1.07
/word",aljazeera english,1.07,word
1850 word feature,Little to no reporting; Assignment (editor came to you),"$0.41
/word",alaska airlines magazine,0.41,word
"400 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",all black media,0.05,word
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",allaboutcircuits,0.1,word
"600 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.17
/word",alma,0.17,word
"600 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",alma,0.17,word
700 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",almost fearless,0.25,word
800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",almost fearless,0.25,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",almost fearless,0.13,word
800 word,,"$0.19
/word",almost fearless,0.19,word
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",almost fearless,0.13,word
1000 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",almost fearless,0.0,word
1000 word feature,Little to no reporting; Other,"$0.00
/word",almost fearless,0.0,word
1000 word,,"$0.00
/word",almost fearless,0.0,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",almost fearless,1.0,word
15000 word feature,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.25
/word",alpinist magazine,0.25,word
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",alternet,0.19,word
1000 word,,"$0.25
/word",alternet,0.25,word
~1500 word news story,Assignment (editor came to you),"$0.17
/word",alternet,0.17,word
~1500 word news story,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.17
/word",alternet,0.17,word
1600 word feature,,"$0.16
/word",alternet,0.16,word
3700 word feature,,"$0.03
/word",alternet 2nd rights,0.03,word
1400 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.25
/word",ambassador national italian american foundation,0.25,word
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.38
/word",america magazine,0.38,word
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",america magazine,0.25,word
1100 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.32
/word",americas quarterly,0.32,word
1000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",americas quarterly,0.4,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",american angler,0.35,word
~375 word profile or interview,Medium reporting; Assignment (editor came to you),"$1.00
/word",american banker,1.0,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",american educator,0.0,word
2016 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.69
/word",american forests,0.69,word
"500 word opinion, editorial, column or essay",,"$0.50
/word",american teacher magazine,0.5,word
2000 word,,"$0.25
/word",american theatre,0.25,word
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.15
/word",american theatre,0.15,word
99 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$1.01
/word",american way,1.01,word
500 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",amongmen,0.05,word
350 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",amongmen,0.07,word
555 word,,"$0.03
/word",animal new york,0.03,word
"~375 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",aol travel,0.2,word
800 word,,"$0.10
/word",april magazine,0.1,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",april magazine,0.1,word
1000 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",april magazine,0.1,word
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",aps news,1.0,word
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",archdaily,0.0,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",archer magazine,0.02,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.15
/word",archinect,0.15,word
2000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",architect magazine,1.0,word
600 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",architectural digest,0.5,word
"700 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.71
/word",architectural record,0.71,word
1200 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",are we europe,0.1,word
1200 word,,"$0.10
/word",are we europe,0.1,word
2600 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",are we europe,0.05,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",are we europe,0.06,word
2000 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",are we europe,0.06,word
700 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.16
/word",are we europe,0.16,word
2000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",are we europe,0.06,word
1428 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",argot magazine,0.07,word
557 word poetry,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",argot magazine,0.09,word
1700 word fiction,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.09
/word",argot magazine,0.09,word
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.67
/word",argot magazine,0.67,word
800 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",armenian weekly,0.09,word
800 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.09
/word",armenian weekly,0.09,word
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",ars technica,0.17,word
3600 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",ars technica,0.3,word
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",ars technica,0.4,word
"1200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",art in america,0.0,word
"599 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",art in america,0.13,word
750 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",art in america,0.2,word
"1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.67
/word",art in america,0.67,word
"~375 word criticism, review, or arts/entertainment converage",Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",art in america,0.33,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",art jewelry forum,0.13,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",art jewelry forum,0.13,word
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Assignment (editor came to you),"$0.12
/word",art papers,0.12,word
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",art papers,0.13,word
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Assignment (editor came to you),"$0.33
/word",art papers,0.33,word
~5000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.06
/word",art press france,0.06,word
~750 word other,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.13
/word",art21 magazine,0.13,word
"600 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.01
/word",arte fuse,0.01,word
"250 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",artforum,0.2,word
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.38
/word",artforum,0.38,word
"598 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.33
/word",artforum,0.33,word
"~125 word criticism, review, or arts/entertainment converage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",artforum,0.4,word
"500 word criticism, review, or arts/entertainment converage",,"$0.40
/word",artforum,0.4,word
250 word,,"$0.20
/word",artforum,0.2,word
"550 word criticism, review, or arts/entertainment converage",,"$0.36
/word",artforum,0.36,word
2500 word feature,Medium reporting; Assignment (editor came to you),"$0.80
/word",artnews,0.8,word
300 word fob,,"$0.83
/word",artnews,0.83,word
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Other,"$0.23
/word",artreview,0.23,word
"900 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.46
/word",artreview,0.46,word
700 word,Medium reporting,"$0.20
/word",artreview,0.2,word
700 word,,"$0.29
/word",artreview,0.29,word
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.30
/word",artreview,0.3,word
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.23
/word",artreview,0.23,word
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Other,"$0.23
/word",artreview,0.23,word
"900 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.46
/word",artreview,0.46,word
700 word,Medium reporting,"$0.20
/word",artreview,0.2,word
700 word,,"$0.29
/word",artreview,0.29,word
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.30
/word",artreview,0.3,word
"700 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.23
/word",artreview,0.23,word
1000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",artslant,0.1,word
1000 word,,"$0.30
/word",artsy,0.3,word
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",artsy,0.3,word
1200 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",asia times online,0.19,word
1000 word news story,,"$0.17
/word",asia times online,0.17,word
800 word,,"$0.19
/word",askmencom,0.19,word
"1000 word opinion, editorial, column or essay",,"$0.10
/word",askmencom,0.1,word
703 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",astronomy magazine,0.28,word
1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",astronomy magazine,0.33,word
1000 word,,"$0.00
/word",astronomy magazine,0.0,word
800 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",asweatlife,0.06,word
2000 word profile or interview,Little to no reporting; Assignment (editor came to you),"$0.40
/word",at large magazine,0.4,word
500 word feature,Little to no reporting; Assignment (editor came to you),"$0.70
/word",at large magazine,0.7,word
3500 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.49
/word",at large magazine,0.49,word
300 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",atlanta magazine,1.0,word
~375 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.53
/word",atlantic books today,0.53,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",atlas obscura,0.4,word
750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.37
/word",atlas obscura,0.37,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",atlas obscura,0.33,word
750 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.53
/word",atlas obscura,0.53,word
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.13
/word",atlas obscura,0.13,word
2500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.40
/word",atlas obscura,0.4,word
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.33
/word",atlas obscura,0.33,word
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",atlas obscura,0.21,word
780 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.26
/word",atlas obscura,0.26,word
3100 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.10
/word",atlas obscura,0.1,word
1150 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",atlas obscura,0.35,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",atlas obscura,0.33,word
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",atlas obscura,0.21,word
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",atlas obscura,0.4,word
1500 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",atlas obscura,0.17,word
600 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",atlas obscura,0.25,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",atlas obscura,0.25,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",atlas obscura,0.2,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",atlas obscura,0.25,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",atlas obscura,0.13,word
1000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",audubon magazine,0.4,word
700 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.43
/word",audubon magazine,0.43,word
300 word fob,Medium reporting; Assignment (editor came to you),"$0.33
/word",audubon magazine,0.33,word
900 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",autostraddle,0.04,word
1200 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",autostraddle,0.03,word
"950 word opinion, editorial, column or essay",,"$0.05
/word",autostraddle,0.05,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",autostraddle,0.05,word
1000 word,,"$0.05
/word",autostraddle,0.05,word
"3000 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",autostraddle,0.03,word
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.04
/word",autostraddle,0.04,word
"1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",autostraddle,0.0,word
900 word,,"$0.04
/word",autostraddle,0.04,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.07
/word",autostraddle,0.07,word
2000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.30
/word",avianca,0.3,word
"1300 word opinion, editorial, column or essay",,"$0.12
/word",babble,0.12,word
"550 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.30
/word",babe,0.3,word
"750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",babe,0.13,word
3000 word,,"$0.06
/word",backchannel,0.06,word
1500 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.80
/word",backchannel,0.8,word
3000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.67
/word",backchannel,0.67,word
500 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",backpacker magazine,0.25,word
300 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",backpacker magazine,0.5,word
1200 word fob,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",backpacker magazine,0.5,word
"2500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.14
/word",backstage,0.14,word
~1500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",baltimores child,0.15,word
"200 word criticism, review, or arts/entertainment coverage",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",bay nature,0.5,word
300 word blog post,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",bay street bull,0.1,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.61
/word",bbc capital,0.61,word
1400 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",bbc culture,0.4,word
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.54
/word",bbc culture,0.54,word
1000 word,Medium reporting; Cold pitch (no pre existing relationship),"$0.37
/word",bbc culture,0.37,word
4500 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.67
/word",bbc future,0.67,word
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",bbc future,0.33,word
1200 word,,"$0.50
/word",bbc travel,0.5,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.56
/word",bbc travel,0.56,word
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",bbc travel,0.3,word
900 word,,"$0.39
/word",bbc travel,0.39,word
200 word fob,Medium reporting,"$0.75
/word",bc business,0.75,word
400 word,,"$0.56
/word",bc business,0.56,word
~750 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",be moxie,0.0,word
1100 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",bedford  bowery,0.09,word
"600 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",bedford  bowery,0.08,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",bedsider,0.13,word
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.42
/word",belt magazine,0.42,word
~3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",belt magazine,0.17,word
"900 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",bevel code,0.28,word
"113 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.35
/word",beyond,0.35,word
3221 word blog post,Medium reporting; Other,"$0.20
/word",beyond myth and jargon,0.2,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",billboard,0.1,word
500 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",billboard,0.5,word
"6000 word criticism, review, or arts/entertainment coverage",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",billboard,0.29,word
1000 word,,"$0.15
/word",billboard,0.15,word
750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",bioscience,1.0,word
600 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",biotechniques,0.17,word
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",biotechniques,0.2,word
1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",biotechniques,0.07,word
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",bitch,0.25,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",bitch,0.13,word
1500 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.07
/word",bitch,0.07,word
2500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.48
/word",bitch,0.48,word
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",bitch,0.1,word
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",bitch,0.07,word
"1276 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",bitch,0.06,word
2800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.04
/word",bitch,0.04,word
"1200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.08
/word",bitch,0.08,word
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting,"$0.13
/word",bitch,0.13,word
500 word,,"$0.10
/word",bitch,0.1,word
"350 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",bitch,0.11,word
"1100 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",bitch,0.04,word
